name,chr,start,stop,
CG11034,2L,5805395,5809063,"{""name"":""CG11034"",""chr"":""2L"",""start"":5805395,""stop"":5809063},"
rau,2L,5859769,5879498,"{""name"":""rau"",""chr"":""2L"",""start"":5859769,""stop"":5879498},"
CG9029,2L,5886002,5886609,"{""name"":""CG9029"",""chr"":""2L"",""start"":5886002,""stop"":5886609},"
CG9021,2L,5903178,5904689,"{""name"":""CG9021"",""chr"":""2L"",""start"":5903178,""stop"":5904689},"
CG14000,2L,5908927,5910289,"{""name"":""CG14000"",""chr"":""2L"",""start"":5908927,""stop"":5910289},"
CG9016,2L,5922876,5923653,"{""name"":""CG9016"",""chr"":""2L"",""start"":5922876,""stop"":5923653},"
CG9044,2L,5949450,5955235,"{""name"":""CG9044"",""chr"":""2L"",""start"":5949450,""stop"":5955235},"
CG13999,2L,5955312,5956466,"{""name"":""CG13999"",""chr"":""2L"",""start"":5955312,""stop"":5956466},"
CG13992,2L,5965391,5967752,"{""name"":""CG13992"",""chr"":""2L"",""start"":5965391,""stop"":5967752},"
Ucp4C,2L,5968566,5969761,"{""name"":""Ucp4C"",""chr"":""2L"",""start"":5968566,""stop"":5969761},"
Ucp4B,2L,5969859,5971025,"{""name"":""Ucp4B"",""chr"":""2L"",""start"":5969859,""stop"":5971025},"
Kdm5,2L,5989400,5999501,"{""name"":""Kdm5"",""chr"":""2L"",""start"":5989400,""stop"":5999501},"
Tsp26A,2L,6000228,6003738,"{""name"":""Tsp26A"",""chr"":""2L"",""start"":6000228,""stop"":6003738},"
CG9098,2L,6007364,6012338,"{""name"":""CG9098"",""chr"":""2L"",""start"":6007364,""stop"":6012338},"
CG13996,2L,6020835,6021718,"{""name"":""CG13996"",""chr"":""2L"",""start"":6020835,""stop"":6021718},"
CG9107,2L,6022951,6024539,"{""name"":""CG9107"",""chr"":""2L"",""start"":6022951,""stop"":6024539},"
CG9109,2L,6025870,6034423,"{""name"":""CG9109"",""chr"":""2L"",""start"":6025870,""stop"":6034423},"
CG9117,2L,6036997,6037902,"{""name"":""CG9117"",""chr"":""2L"",""start"":6036997,""stop"":6037902},"
IPIP,2L,6048002,6050474,"{""name"":""IPIP"",""chr"":""2L"",""start"":6048002,""stop"":6050474},"
CG9135,2L,6050800,6053877,"{""name"":""CG9135"",""chr"":""2L"",""start"":6050800,""stop"":6053877},"
CG13995,2L,6054302,6060169,"{""name"":""CG13995"",""chr"":""2L"",""start"":6054302,""stop"":6060169},"
ND-51,2L,6060842,6062757,"{""name"":""ND-51"",""chr"":""2L"",""start"":6060842,""stop"":6062757},"
CG13994,2L,6062989,6063671,"{""name"":""CG13994"",""chr"":""2L"",""start"":6062989,""stop"":6063671},"
Fbw5,2L,6063562,6065953,"{""name"":""Fbw5"",""chr"":""2L"",""start"":6063562,""stop"":6065953},"
CG9147,2L,6065997,6067635,"{""name"":""CG9147"",""chr"":""2L"",""start"":6065997,""stop"":6067635},"
CG9150,2L,6067668,6068594,"{""name"":""CG9150"",""chr"":""2L"",""start"":6067668,""stop"":6068594},"
Pfdn1,2L,6069079,6069838,"{""name"":""Pfdn1"",""chr"":""2L"",""start"":6069079,""stop"":6069838},"
CG9154,2L,6069790,6070686,"{""name"":""CG9154"",""chr"":""2L"",""start"":6069790,""stop"":6070686},"
lncRNA:CR9162,2L,6078453,6079736,"{""name"":""lncRNA:CR9162"",""chr"":""2L"",""start"":6078453,""stop"":6079736},"
CG9175,2L,6096698,6098966,"{""name"":""CG9175"",""chr"":""2L"",""start"":6096698,""stop"":6098966},"
WDR79,2L,6125879,6127775,"{""name"":""WDR79"",""chr"":""2L"",""start"":6125879,""stop"":6127775},"
CG9222,2L,6131023,6132484,"{""name"":""CG9222"",""chr"":""2L"",""start"":6131023,""stop"":6132484},"
CG13991,2L,6139382,6145010,"{""name"":""CG13991"",""chr"":""2L"",""start"":6139382,""stop"":6145010},"
CG13989,2L,6160400,6161309,"{""name"":""CG13989"",""chr"":""2L"",""start"":6160400,""stop"":6161309},"
AANATL2,2L,6255859,6256822,"{""name"":""AANATL2"",""chr"":""2L"",""start"":6255859,""stop"":6256822},"
CG13983,2L,6263557,6264490,"{""name"":""CG13983"",""chr"":""2L"",""start"":6263557,""stop"":6264490},"
Pez,2L,6332881,6338671,"{""name"":""Pez"",""chr"":""2L"",""start"":6332881,""stop"":6338671},"
CG9497,2L,6346430,6348427,"{""name"":""CG9497"",""chr"":""2L"",""start"":6346430,""stop"":6348427},"
CG9498,2L,6349393,6351034,"{""name"":""CG9498"",""chr"":""2L"",""start"":6349393,""stop"":6351034},"
ppk7,2L,6352324,6354331,"{""name"":""ppk7"",""chr"":""2L"",""start"":6352324,""stop"":6354331},"
ppk14,2L,6354956,6356672,"{""name"":""ppk14"",""chr"":""2L"",""start"":6354956,""stop"":6356672},"
CG9500,2L,6357005,6358318,"{""name"":""CG9500"",""chr"":""2L"",""start"":6357005,""stop"":6358318},"
Nepl4,2L,6367882,6370190,"{""name"":""Nepl4"",""chr"":""2L"",""start"":6367882,""stop"":6370190},"
Nepl5,2L,6381266,6383419,"{""name"":""Nepl5"",""chr"":""2L"",""start"":6381266,""stop"":6383419},"
CG13982,2L,6412315,6415335,"{""name"":""CG13982"",""chr"":""2L"",""start"":6412315,""stop"":6415335},"
Acox3,2L,6426724,6448403,"{""name"":""Acox3"",""chr"":""2L"",""start"":6426724,""stop"":6448403},"
retm,2L,6448464,6455929,"{""name"":""retm"",""chr"":""2L"",""start"":6448464,""stop"":6455929},"
frj,2L,6456052,6459008,"{""name"":""frj"",""chr"":""2L"",""start"":6456052,""stop"":6459008},"
Rchy1,2L,6459015,6465669,"{""name"":""Rchy1"",""chr"":""2L"",""start"":6459015,""stop"":6465669},"
HemK1,2L,6466217,6467698,"{""name"":""HemK1"",""chr"":""2L"",""start"":6466217,""stop"":6467698},"
CG9536,2L,6474438,6476975,"{""name"":""CG9536"",""chr"":""2L"",""start"":6474438,""stop"":6476975},"
Daxx,2L,6480929,6487576,"{""name"":""Daxx"",""chr"":""2L"",""start"":6480929,""stop"":6487576},"
Phf5a,2L,6490155,6490843,"{""name"":""Phf5a"",""chr"":""2L"",""start"":6490155,""stop"":6490843},"
CG9547,2L,6492974,6494532,"{""name"":""CG9547"",""chr"":""2L"",""start"":6492974,""stop"":6494532},"
CG9550,2L,6497053,6498466,"{""name"":""CG9550"",""chr"":""2L"",""start"":6497053,""stop"":6498466},"
IFT52,2L,6555717,6557502,"{""name"":""IFT52"",""chr"":""2L"",""start"":6555717,""stop"":6557502},"
COX5B,2L,6557800,6559308,"{""name"":""COX5B"",""chr"":""2L"",""start"":6557800,""stop"":6559308},"
COX5BL,2L,6559431,6560133,"{""name"":""COX5BL"",""chr"":""2L"",""start"":6559431,""stop"":6560133},"
Trmt6,2L,6559426,6562289,"{""name"":""Trmt6"",""chr"":""2L"",""start"":6559426,""stop"":6562289},"
CG13766,2L,6564112,6566181,"{""name"":""CG13766"",""chr"":""2L"",""start"":6564112,""stop"":6566181},"
Dpp10,2L,6568400,6601068,"{""name"":""Dpp10"",""chr"":""2L"",""start"":6568400,""stop"":6601068},"
CG11050,2L,6611011,6617117,"{""name"":""CG11050"",""chr"":""2L"",""start"":6611011,""stop"":6617117},"
DIP-iota,2L,6617134,6621700,"{""name"":""DIP-iota"",""chr"":""2L"",""start"":6617134,""stop"":6621700},"
CG13771,2L,6662061,6663612,"{""name"":""CG13771"",""chr"":""2L"",""start"":6662061,""stop"":6663612},"
Nse1,2L,6676649,6677625,"{""name"":""Nse1"",""chr"":""2L"",""start"":6676649,""stop"":6677625},"
CG11327,2L,6684842,6686712,"{""name"":""CG11327"",""chr"":""2L"",""start"":6684842,""stop"":6686712},"
Tsp,2L,6686791,6709086,"{""name"":""Tsp"",""chr"":""2L"",""start"":6686791,""stop"":6709086},"
Aatf,2L,6717625,6719389,"{""name"":""Aatf"",""chr"":""2L"",""start"":6717625,""stop"":6719389},"
TTLL3B,2L,6732866,6736149,"{""name"":""TTLL3B"",""chr"":""2L"",""start"":6732866,""stop"":6736149},"
TTLL3A,2L,6736364,6740188,"{""name"":""TTLL3A"",""chr"":""2L"",""start"":6736364,""stop"":6740188},"
meng,2L,6742502,6756133,"{""name"":""meng"",""chr"":""2L"",""start"":6742502,""stop"":6756133},"
CG11322,2L,6757864,6759628,"{""name"":""CG11322"",""chr"":""2L"",""start"":6757864,""stop"":6759628},"
LUBEL,2L,6759829,6772755,"{""name"":""LUBEL"",""chr"":""2L"",""start"":6759829,""stop"":6772755},"
CG17378,2L,6774041,6778444,"{""name"":""CG17378"",""chr"":""2L"",""start"":6774041,""stop"":6778444},"
CG17377,2L,6801358,6802840,"{""name"":""CG17377"",""chr"":""2L"",""start"":6801358,""stop"":6802840},"
Daao2,2L,6803011,6804372,"{""name"":""Daao2"",""chr"":""2L"",""start"":6803011,""stop"":6804372},"
CG17375,2L,6804324,6805792,"{""name"":""CG17375"",""chr"":""2L"",""start"":6804324,""stop"":6805792},"
Nha1,2L,6860905,6870389,"{""name"":""Nha1"",""chr"":""2L"",""start"":6860905,""stop"":6870389},"
Nlg2,2L,6874900,6906656,"{""name"":""Nlg2"",""chr"":""2L"",""start"":6874900,""stop"":6906656},"
Rat1,2L,6908083,6911423,"{""name"":""Rat1"",""chr"":""2L"",""start"":6908083,""stop"":6911423},"
CG18304,2L,6932545,6942814,"{""name"":""CG18304"",""chr"":""2L"",""start"":6932545,""stop"":6942814},"
Fgop2,2L,6943178,6945289,"{""name"":""Fgop2"",""chr"":""2L"",""start"":6943178,""stop"":6945289},"
ihog,2L,6945464,6948808,"{""name"":""ihog"",""chr"":""2L"",""start"":6945464,""stop"":6948808},"
Gas41,2L,6949310,6950207,"{""name"":""Gas41"",""chr"":""2L"",""start"":6949310,""stop"":6950207},"
CG13775,2L,6954357,6956950,"{""name"":""CG13775"",""chr"":""2L"",""start"":6954357,""stop"":6956950},"
CG3430,2L,6957008,6959104,"{""name"":""CG3430"",""chr"":""2L"",""start"":6957008,""stop"":6959104},"
Atac1,2L,6959099,6960328,"{""name"":""Atac1"",""chr"":""2L"",""start"":6959099,""stop"":6960328},"
Hmgcl,2L,6960377,6961653,"{""name"":""Hmgcl"",""chr"":""2L"",""start"":6960377,""stop"":6961653},"
sip2,2L,6961516,6964074,"{""name"":""sip2"",""chr"":""2L"",""start"":6961516,""stop"":6964074},"
uif,2L,6972828,7010359,"{""name"":""uif"",""chr"":""2L"",""start"":6972828,""stop"":7010359},"
MME1,2L,7027526,7028959,"{""name"":""MME1"",""chr"":""2L"",""start"":7027526,""stop"":7028959},"
Rab30,2L,7030493,7032606,"{""name"":""Rab30"",""chr"":""2L"",""start"":7030493,""stop"":7032606},"
Caper,2L,7032721,7037878,"{""name"":""Caper"",""chr"":""2L"",""start"":7032721,""stop"":7037878},"
Mnn1,2L,7056301,7063586,"{""name"":""Mnn1"",""chr"":""2L"",""start"":7056301,""stop"":7063586},"
Nuf2,2L,7064431,7065837,"{""name"":""Nuf2"",""chr"":""2L"",""start"":7064431,""stop"":7065837},"
Ugt307A1,2L,7067983,7069546,"{""name"":""Ugt307A1"",""chr"":""2L"",""start"":7067983,""stop"":7069546},"
Pvf2,2L,7069536,7084635,"{""name"":""Pvf2"",""chr"":""2L"",""start"":7069536,""stop"":7084635},"
MICU1,2L,7182234,7185529,"{""name"":""MICU1"",""chr"":""2L"",""start"":7182234,""stop"":7185529},"
CG4496,2L,7185461,7190010,"{""name"":""CG4496"",""chr"":""2L"",""start"":7185461,""stop"":7190010},"
CG4497,2L,7190431,7194588,"{""name"":""CG4497"",""chr"":""2L"",""start"":7190431,""stop"":7194588},"
CG4502,2L,7194908,7204264,"{""name"":""CG4502"",""chr"":""2L"",""start"":7194908,""stop"":7204264},"
CG13784,2L,7204538,7220033,"{""name"":""CG13784"",""chr"":""2L"",""start"":7204538,""stop"":7220033},"
CG13786,2L,7250607,7252982,"{""name"":""CG13786"",""chr"":""2L"",""start"":7250607,""stop"":7252982},"
Wnt6,2L,7333714,7352542,"{""name"":""Wnt6"",""chr"":""2L"",""start"":7333714,""stop"":7352542},"
Wnt10,2L,7363379,7377528,"{""name"":""Wnt10"",""chr"":""2L"",""start"":7363379,""stop"":7377528},"
CG5149,2L,7384486,7388253,"{""name"":""CG5149"",""chr"":""2L"",""start"":7384486,""stop"":7388253},"
gudu,2L,7388508,7390902,"{""name"":""gudu"",""chr"":""2L"",""start"":7388508,""stop"":7390902},"
CG5160,2L,7390984,7398750,"{""name"":""CG5160"",""chr"":""2L"",""start"":7390984,""stop"":7398750},"
CG5171,2L,7401335,7404727,"{""name"":""CG5171"",""chr"":""2L"",""start"":7401335,""stop"":7404727},"
CG5177,2L,7405227,7408600,"{""name"":""CG5177"",""chr"":""2L"",""start"":7405227,""stop"":7408600},"
CG5181,2L,7408533,7409809,"{""name"":""CG5181"",""chr"":""2L"",""start"":7408533,""stop"":7409809},"
CG15818,2L,7410909,7412229,"{""name"":""CG15818"",""chr"":""2L"",""start"":7410909,""stop"":7412229},"
CG5958,2L,7430530,7433516,"{""name"":""CG5958"",""chr"":""2L"",""start"":7430530,""stop"":7433516},"
CG5973,2L,7437492,7445882,"{""name"":""CG5973"",""chr"":""2L"",""start"":7437492,""stop"":7445882},"
CG6055,2L,7466543,7472493,"{""name"":""CG6055"",""chr"":""2L"",""start"":7466543,""stop"":7472493},"
CG6441,2L,7474704,7476952,"{""name"":""CG6441"",""chr"":""2L"",""start"":7474704,""stop"":7476952},"
Cyp4d21,2L,7605600,7607701,"{""name"":""Cyp4d21"",""chr"":""2L"",""start"":7605600,""stop"":7607701},"
CG6739,2L,7608389,7616533,"{""name"":""CG6739"",""chr"":""2L"",""start"":7608389,""stop"":7616533},"
CG18585,2L,7689311,7691061,"{""name"":""CG18585"",""chr"":""2L"",""start"":7689311,""stop"":7691061},"
CG7025,2L,7691109,7692683,"{""name"":""CG7025"",""chr"":""2L"",""start"":7691109,""stop"":7692683},"
CG13793,2L,7716974,7719487,"{""name"":""CG13793"",""chr"":""2L"",""start"":7716974,""stop"":7719487},"
CG13794,2L,7719847,7722823,"{""name"":""CG13794"",""chr"":""2L"",""start"":7719847,""stop"":7722823},"
CG13795,2L,7723045,7726298,"{""name"":""CG13795"",""chr"":""2L"",""start"":7723045,""stop"":7726298},"
CG13796,2L,7727157,7732670,"{""name"":""CG13796"",""chr"":""2L"",""start"":7727157,""stop"":7732670},"
CG7214,2L,7743682,7744839,"{""name"":""CG7214"",""chr"":""2L"",""start"":7743682,""stop"":7744839},"
ATPsynGL,2L,7747275,7747874,"{""name"":""ATPsynGL"",""chr"":""2L"",""start"":7747275,""stop"":7747874},"
CG7203,2L,7752170,7753186,"{""name"":""CG7203"",""chr"":""2L"",""start"":7752170,""stop"":7753186},"
CG7191,2L,7767628,7775033,"{""name"":""CG7191"",""chr"":""2L"",""start"":7767628,""stop"":7775033},"
CG7164,2L,7781465,7782760,"{""name"":""CG7164"",""chr"":""2L"",""start"":7781465,""stop"":7782760},"
Brd7-9,2L,7782865,7786061,"{""name"":""Brd7-9"",""chr"":""2L"",""start"":7782865,""stop"":7786061},"
CG7149,2L,7786160,7790557,"{""name"":""CG7149"",""chr"":""2L"",""start"":7786160,""stop"":7790557},"
Herp,2L,7796314,7800058,"{""name"":""Herp"",""chr"":""2L"",""start"":7796314,""stop"":7800058},"
r2d2,2L,7800147,7802098,"{""name"":""r2d2"",""chr"":""2L"",""start"":7800147,""stop"":7802098},"
Cdc14,2L,7801668,7810703,"{""name"":""Cdc14"",""chr"":""2L"",""start"":7801668,""stop"":7810703},"
CG14537,2L,7840452,7841262,"{""name"":""CG14537"",""chr"":""2L"",""start"":7840452,""stop"":7841262},"
CG14535,2L,7844905,7855475,"{""name"":""CG14535"",""chr"":""2L"",""start"":7844905,""stop"":7855475},"
TwdlE,2L,7857957,7860839,"{""name"":""TwdlE"",""chr"":""2L"",""start"":7857957,""stop"":7860839},"
spz3,2L,7873495,7879552,"{""name"":""spz3"",""chr"":""2L"",""start"":7873495,""stop"":7879552},"
CG7102,2L,7883282,7887513,"{""name"":""CG7102"",""chr"":""2L"",""start"":7883282,""stop"":7887513},"
CG7231,2L,7983946,7986785,"{""name"":""CG7231"",""chr"":""2L"",""start"":7983946,""stop"":7986785},"
pes,2L,7986786,7994184,"{""name"":""pes"",""chr"":""2L"",""start"":7986786,""stop"":7994184},"
CG7227,2L,7994388,7998151,"{""name"":""CG7227"",""chr"":""2L"",""start"":7994388,""stop"":7998151},"
Sirup,2L,7998869,7999676,"{""name"":""Sirup"",""chr"":""2L"",""start"":7998869,""stop"":7999676},"
Wwox,2L,7999670,8004286,"{""name"":""Wwox"",""chr"":""2L"",""start"":7999670,""stop"":8004286},"
Spn28Dc,2L,8004548,8007210,"{""name"":""Spn28Dc"",""chr"":""2L"",""start"":8004548,""stop"":8007210},"
CG12560,2L,8008302,8009477,"{""name"":""CG12560"",""chr"":""2L"",""start"":8008302,""stop"":8009477},"
Tg,2L,8011405,8026898,"{""name"":""Tg"",""chr"":""2L"",""start"":8011405,""stop"":8026898},"
CG7367,2L,8026914,8039788,"{""name"":""CG7367"",""chr"":""2L"",""start"":8026914,""stop"":8039788},"
baf,2L,8029462,8030565,"{""name"":""baf"",""chr"":""2L"",""start"":8029462,""stop"":8030565},"
CCDC53,2L,8041106,8041879,"{""name"":""CCDC53"",""chr"":""2L"",""start"":8041106,""stop"":8041879},"
RpL36A,2L,8041873,8042909,"{""name"":""RpL36A"",""chr"":""2L"",""start"":8041873,""stop"":8042909},"
Megf8,2L,8043471,8054326,"{""name"":""Megf8"",""chr"":""2L"",""start"":8043471,""stop"":8054326},"
mon2,2L,8116965,8124010,"{""name"":""mon2"",""chr"":""2L"",""start"":8116965,""stop"":8124010},"
CG8673,2L,8124329,8125799,"{""name"":""CG8673"",""chr"":""2L"",""start"":8124329,""stop"":8125799},"
CG12375,2L,8125668,8126890,"{""name"":""CG12375"",""chr"":""2L"",""start"":8125668,""stop"":8126890},"
CG8668,2L,8127001,8133989,"{""name"":""CG8668"",""chr"":""2L"",""start"":8127001,""stop"":8133989},"
PAPLA1,2L,8134247,8159638,"{""name"":""PAPLA1"",""chr"":""2L"",""start"":8134247,""stop"":8159638},"
Acbp1,2L,8161796,8162452,"{""name"":""Acbp1"",""chr"":""2L"",""start"":8161796,""stop"":8162452},"
CG8475,2L,8190808,8196918,"{""name"":""CG8475"",""chr"":""2L"",""start"":8190808,""stop"":8196918},"
CG8460,2L,8197193,8198813,"{""name"":""CG8460"",""chr"":""2L"",""start"":8197193,""stop"":8198813},"
PGAP5,2L,8198882,8200652,"{""name"":""PGAP5"",""chr"":""2L"",""start"":8198882,""stop"":8200652},"
SLC5A11,2L,8200465,8205132,"{""name"":""SLC5A11"",""chr"":""2L"",""start"":8200465,""stop"":8205132},"
CG8419,2L,8206171,8209637,"{""name"":""CG8419"",""chr"":""2L"",""start"":8206171,""stop"":8209637},"
CG8372,2L,8212039,8212902,"{""name"":""CG8372"",""chr"":""2L"",""start"":8212039,""stop"":8212902},"
CG8360,2L,8212959,8214135,"{""name"":""CG8360"",""chr"":""2L"",""start"":8212959,""stop"":8214135},"
CG8353,2L,8214045,8215239,"{""name"":""CG8353"",""chr"":""2L"",""start"":8214045,""stop"":8215239},"
CG8349,2L,8215915,8216901,"{""name"":""CG8349"",""chr"":""2L"",""start"":8215915,""stop"":8216901},"
CG8292,2L,8216851,8218017,"{""name"":""CG8292"",""chr"":""2L"",""start"":8216851,""stop"":8218017},"
Snx6,2L,8218071,8220741,"{""name"":""Snx6"",""chr"":""2L"",""start"":8218071,""stop"":8220741},"
Pvr,2L,8220980,8239878,"{""name"":""Pvr"",""chr"":""2L"",""start"":8220980,""stop"":8239878},"
CG14277,2L,8242486,8243426,"{""name"":""CG14277"",""chr"":""2L"",""start"":8242486,""stop"":8243426},"
CG8086,2L,8244160,8257502,"{""name"":""CG8086"",""chr"":""2L"",""start"":8244160,""stop"":8257502},"
Scgalpha,2L,8303429,8305376,"{""name"":""Scgalpha"",""chr"":""2L"",""start"":8303429,""stop"":8305376},"
CG7840,2L,8305586,8306741,"{""name"":""CG7840"",""chr"":""2L"",""start"":8305586,""stop"":8306741},"
Ostgamma,2L,8306696,8308192,"{""name"":""Ostgamma"",""chr"":""2L"",""start"":8306696,""stop"":8308192},"
Mettl14,2L,8308427,8309961,"{""name"":""Mettl14"",""chr"":""2L"",""start"":8308427,""stop"":8309961},"
CG7810,2L,8309876,8311195,"{""name"":""CG7810"",""chr"":""2L"",""start"":8309876,""stop"":8311195},"
CG7806,2L,8311399,8317011,"{""name"":""CG7806"",""chr"":""2L"",""start"":8311399,""stop"":8317011},"
strat,2L,8320328,8321285,"{""name"":""strat"",""chr"":""2L"",""start"":8320328,""stop"":8321285},"
CG7781,2L,8321280,8325409,"{""name"":""CG7781"",""chr"":""2L"",""start"":8321280,""stop"":8325409},"
CG14275,2L,8327456,8332911,"{""name"":""CG14275"",""chr"":""2L"",""start"":8327456,""stop"":8332911},"
CG14274,2L,8338287,8342056,"{""name"":""CG14274"",""chr"":""2L"",""start"":8338287,""stop"":8342056},"
CG14273,2L,8342695,8344378,"{""name"":""CG14273"",""chr"":""2L"",""start"":8342695,""stop"":8344378},"
CG7778,2L,8346620,8351112,"{""name"":""CG7778"",""chr"":""2L"",""start"":8346620,""stop"":8351112},"
CG7627,2L,8355678,8362469,"{""name"":""CG7627"",""chr"":""2L"",""start"":8355678,""stop"":8362469},"
CG17292,2L,8370454,8374250,"{""name"":""CG17292"",""chr"":""2L"",""start"":8370454,""stop"":8374250},"
Wdr82,2L,8374461,8375549,"{""name"":""Wdr82"",""chr"":""2L"",""start"":8374461,""stop"":8375549},"
CG13390,2L,8375502,8376797,"{""name"":""CG13390"",""chr"":""2L"",""start"":8375502,""stop"":8376797},"
CG17294,2L,8377035,8378206,"{""name"":""CG17294"",""chr"":""2L"",""start"":8377035,""stop"":8378206},"
CG13392,2L,8381821,8382807,"{""name"":""CG13392"",""chr"":""2L"",""start"":8381821,""stop"":8382807},"
Rcd4,2L,8382861,8383657,"{""name"":""Rcd4"",""chr"":""2L"",""start"":8382861,""stop"":8383657},"
CG13384,2L,8384455,8388804,"{""name"":""CG13384"",""chr"":""2L"",""start"":8384455,""stop"":8388804},"
CG13385,2L,8396649,8397886,"{""name"":""CG13385"",""chr"":""2L"",""start"":8396649,""stop"":8397886},"
CG13386,2L,8399021,8400078,"{""name"":""CG13386"",""chr"":""2L"",""start"":8399021,""stop"":8400078},"
CG13398,2L,8412144,8415256,"{""name"":""CG13398"",""chr"":""2L"",""start"":8412144,""stop"":8415256},"
CG13088,2L,8488981,8490546,"{""name"":""CG13088"",""chr"":""2L"",""start"":8488981,""stop"":8490546},"
Dh31,2L,8491868,8506845,"{""name"":""Dh31"",""chr"":""2L"",""start"":8491868,""stop"":8506845},"
Bace,2L,8494893,8496307,"{""name"":""Bace"",""chr"":""2L"",""start"":8494893,""stop"":8496307},"
CG13096,2L,8509069,8511866,"{""name"":""CG13096"",""chr"":""2L"",""start"":8509069,""stop"":8511866},"
CG13097,2L,8512174,8514868,"{""name"":""CG13097"",""chr"":""2L"",""start"":8512174,""stop"":8514868},"
PIG-U,2L,8515096,8516755,"{""name"":""PIG-U"",""chr"":""2L"",""start"":8515096,""stop"":8516755},"
mRpL51,2L,8516753,8517380,"{""name"":""mRpL51"",""chr"":""2L"",""start"":8516753,""stop"":8517380},"
Uba4,2L,8517411,8519176,"{""name"":""Uba4"",""chr"":""2L"",""start"":8517411,""stop"":8519176},"
Sgp,2L,8519690,8521809,"{""name"":""Sgp"",""chr"":""2L"",""start"":8519690,""stop"":8521809},"
CG9287,2L,8676777,8679812,"{""name"":""CG9287"",""chr"":""2L"",""start"":8676777,""stop"":8679812},"
CG9289,2L,8681325,8684376,"{""name"":""CG9289"",""chr"":""2L"",""start"":8681325,""stop"":8684376},"
PrBP,2L,8684823,8685955,"{""name"":""PrBP"",""chr"":""2L"",""start"":8684823,""stop"":8685955},"
CatB,2L,8705572,8707527,"{""name"":""CatB"",""chr"":""2L"",""start"":8705572,""stop"":8707527},"
CG12438,2L,8752285,8753209,"{""name"":""CG12438"",""chr"":""2L"",""start"":8752285,""stop"":8753209},"
LManIII,2L,8765273,8768710,"{""name"":""LManIII"",""chr"":""2L"",""start"":8765273,""stop"":8768710},"
LManIV,2L,8769159,8772344,"{""name"":""LManIV"",""chr"":""2L"",""start"":8769159,""stop"":8772344},"
LManV,2L,8772946,8776263,"{""name"":""LManV"",""chr"":""2L"",""start"":8772946,""stop"":8776263},"
LManVI,2L,8777661,8781252,"{""name"":""LManVI"",""chr"":""2L"",""start"":8777661,""stop"":8781252},"
CG9483,2L,8866767,8867686,"{""name"":""CG9483"",""chr"":""2L"",""start"":8866767,""stop"":8867686},"
Tsp29Fa,2L,8933962,8936096,"{""name"":""Tsp29Fa"",""chr"":""2L"",""start"":8933962,""stop"":8936096},"
Tsp29Fb,2L,8937390,8939743,"{""name"":""Tsp29Fb"",""chr"":""2L"",""start"":8937390,""stop"":8939743},"
Argl,2L,8939725,8942105,"{""name"":""Argl"",""chr"":""2L"",""start"":8939725,""stop"":8942105},"
CG9515,2L,8941945,8943257,"{""name"":""CG9515"",""chr"":""2L"",""start"":8941945,""stop"":8943257},"
C1GalTA,2L,8943455,8951216,"{""name"":""C1GalTA"",""chr"":""2L"",""start"":8943455,""stop"":8951216},"
CG31886,2L,8953481,8959051,"{""name"":""CG31886"",""chr"":""2L"",""start"":8953481,""stop"":8959051},"
CG9525,2L,8959255,8962354,"{""name"":""CG9525"",""chr"":""2L"",""start"":8959255,""stop"":8962354},"
CG18088,2L,8967535,8970627,"{""name"":""CG18088"",""chr"":""2L"",""start"":8967535,""stop"":8970627},"
CG9541,2L,8970520,8975428,"{""name"":""CG9541"",""chr"":""2L"",""start"":8970520,""stop"":8975428},"
CG13101,2L,8977834,8984872,"{""name"":""CG13101"",""chr"":""2L"",""start"":8977834,""stop"":8984872},"
CG9555,2L,8991735,8993632,"{""name"":""CG9555"",""chr"":""2L"",""start"":8991735,""stop"":8993632},"
CG17906,2L,8994391,8995617,"{""name"":""CG17906"",""chr"":""2L"",""start"":8994391,""stop"":8995617},"
CG9568,2L,9010583,9011358,"{""name"":""CG9568"",""chr"":""2L"",""start"":9010583,""stop"":9011358},"
CG13102,2L,9012188,9014149,"{""name"":""CG13102"",""chr"":""2L"",""start"":9012188,""stop"":9014149},"
Rcd-1r,2L,9012885,9014068,"{""name"":""Rcd-1r"",""chr"":""2L"",""start"":9012885,""stop"":9014068},"
CG9582,2L,9024320,9031836,"{""name"":""CG9582"",""chr"":""2L"",""start"":9024320,""stop"":9031836},"
CG12439,2L,9077121,9077988,"{""name"":""CG12439"",""chr"":""2L"",""start"":9077121,""stop"":9077988},"
Toll-4,2L,9084107,9089440,"{""name"":""Toll-4"",""chr"":""2L"",""start"":9084107,""stop"":9089440},"
Or30a,2L,9111814,9113285,"{""name"":""Or30a"",""chr"":""2L"",""start"":9111814,""stop"":9113285},"
CG13108,2L,9164235,9165426,"{""name"":""CG13108"",""chr"":""2L"",""start"":9164235,""stop"":9165426},"
CG9586,2L,9165421,9166514,"{""name"":""CG9586"",""chr"":""2L"",""start"":9165421,""stop"":9166514},"
aust,2L,9250048,9251042,"{""name"":""aust"",""chr"":""2L"",""start"":9250048,""stop"":9251042},"
borr,2L,9251472,9253118,"{""name"":""borr"",""chr"":""2L"",""start"":9251472,""stop"":9253118},"
CG17005,2L,9327744,9330332,"{""name"":""CG17005"",""chr"":""2L"",""start"":9327744,""stop"":9330332},"
CG3748,2L,9342832,9344777,"{""name"":""CG3748"",""chr"":""2L"",""start"":9342832,""stop"":9344777},"
